Equipment,Parameter,Range,Frequency,CMC (±),Comments,range_min,range_min_unit,range_max,range_max_unit,frequency_range_min,frequency_range_min_unit,frequency_range_max,frequency_range_max_unit,cmc_base,cmc_multiplier,cmc_mult_unit,cmc_uncertainty_unit
Electrical Calibration of RTD Indicators & Simulators,"Pt 385, 1000 Ω",(1200 to 1562) °F,,0.033 °F,HP 3458A,1200,°F,1562,°F,,,,,0.033,0.0,,°F
HP 3458A,AC Voltage – Measure,(1 to 10) mV,(1 to 40) Hz,0.034 % + 3.6 µV,HP 3458A,1,mV,10,mV,1,Hz,40,Hz,0.034,3.6,%,µV
HP 3458A,AC Voltage – Measure,(1 to 10) mV,40 Hz to 1 kHz,0.023 % + 1.4 µV,HP 3458A,1,mV,10,mV,40,Hz,1,kHz,0.023,1.4,%,µV
HP 3458A,AC Voltage – Measure,(1 to 10) mV,(1 to 20) kHz,0.034 % + 1.4 µV,HP 3458A,1,mV,10,mV,1,kHz,20,kHz,0.034,1.4,%,µV
HP 3458A,AC Voltage – Measure,(1 to 10) mV,(20 to 50) kHz,0.011 % + 1.9 µV,HP 3458A,1,mV,10,mV,20,kHz,50,kHz,0.011,1.9,%,µV
HP 3458A,AC Voltage – Measure,(1 to 10) mV,(50 to 100) kHz,0.58 % + 1.4 µV,HP 3458A,1,mV,10,mV,50,kHz,100,kHz,0.58,1.4,%,µV
HP 3458A,AC Voltage – Measure,(1 to 10) mV,(100 to 300) kHz,4.6 % + 4.2 µV,HP 3458A,1,mV,10,mV,100,kHz,300,kHz,4.6,4.2,%,µV
HP 3458A,AC Voltage – Measure,(1 to 10) mV,(0.3 to 1) MHz,4.6 % + 7.7 µV,HP 3458A,1,mV,10,mV,0.3,MHz,1,MHz,4.6,7.7,%,µV
HP 3458A,AC Voltage – Measure,(1 to 10) mV,(1 to 4) MHz,8.1 % + 8.8 µV,HP 3458A,1,mV,10,mV,1,MHz,4,MHz,8.1,8.8,%,µV
HP 3458A,AC Voltage – Measure,(1 to 10) mV,(4 to 8) MHz,23 % + 19 µV,HP 3458A,1,mV,10,mV,4,MHz,8,MHz,23.0,19.0,%,µV
HP 3458A,AC Voltage – Measure,(10 to 100) mV,(1 to 40) Hz,83 µV/V + 4.7 µV,HP 3458A,10,mV,100,mV,1,Hz,40,Hz,83.0,4.7,µV/V,µV
HP 3458A,AC Voltage – Measure,(10 to 100) mV,40 Hz to 1 kHz,83 µV/V + 2.4 µV,HP 3458A,10,mV,100,mV,40,Hz,1,kHz,83.0,2.4,µV/V,µV
HP 3458A,AC Voltage – Measure,(10 to 100) mV,(1 to 20) kHz,0.016 % + 2.7 µV,HP 3458A,10,mV,100,mV,1,kHz,20,kHz,0.016,2.7,%,µV
HP 3458A,AC Voltage – Measure,(10 to 100) mV,(20 to 50) kHz,0.035 % + 2.4 µV,HP 3458A,10,mV,100,mV,20,kHz,50,kHz,0.035,2.4,%,µV
HP 3458A,AC Voltage – Measure,(10 to 100) mV,(50 to 100) kHz,0.092 % + 2.8 µV,HP 3458A,10,mV,100,mV,50,kHz,100,kHz,0.092,2.8,%,µV
HP 3458A,AC Voltage – Measure,(10 to 100) mV,(100 to 300) kHz,0.35 % + 12 µV,HP 3458A,10,mV,100,mV,100,kHz,300,kHz,0.35,12.0,%,µV
HP 3458A,AC Voltage – Measure,(10 to 100) mV,300 kHz to 1 MHz,1.2 % + 12 µV,HP 3458A,10,mV,100,mV,300,kHz,1,MHz,1.2,12.0,%,µV
HP 3458A,AC Voltage – Measure,(10 to 100) mV,(1 to 2) MHz,1.7 % + 45 µV,HP 3458A,10,mV,100,mV,1,MHz,2,MHz,1.7,45.0,%,µV
HP 3458A,AC Voltage – Measure,(10 to 100) mV,(2 to 4) MHz,4.6 % + 100 µV,HP 3458A,10,mV,100,mV,2,MHz,4,MHz,4.6,100.0,%,µV
HP 3458A,AC Voltage – Measure,(10 to 100) mV,(4 to 8) MHz,4.6 % + 120 µV,HP 3458A,10,mV,100,mV,4,MHz,8,MHz,4.6,120.0,%,µV
HP 3458A,AC Voltage – Measure,(10 to 100) mV,(8 to 10) MHz,17 % + 440 µV,HP 3458A,10,mV,100,mV,8,MHz,10,MHz,17.0,440.0,%,µV
HP 3458A,AC Voltage – Measure,100 mV to 1 V,(1 to 40) Hz,82 µV/V + 47 µV,HP 3458A,100,mV,1,V,1,Hz,40,Hz,82.0,47.0,µV/V,µV
HP 3458A,AC Voltage – Measure,100 mV to 1 V,40 Hz to 1 kHz,82 µV/V + 24 µV,HP 3458A,100,mV,1,V,40,Hz,1,kHz,82.0,24.0,µV/V,µV
HP 3458A,AC Voltage – Measure,100 mV to 1 V,(1 to 20) kHz,0.016 % + 26 µV,HP 3458A,100,mV,1,V,1,kHz,20,kHz,0.016,26.0,%,µV
HP 3458A,AC Voltage – Measure,100 mV to 1 V,(20 to 50) kHz,0.035 % + 24 µV,HP 3458A,100,mV,1,V,20,kHz,50,kHz,0.035,24.0,%,µV
HP 3458A,AC Voltage – Measure,100 mV to 1 V,(50 to 100) kHz,0.092 % + 28 µV,HP 3458A,100,mV,1,V,50,kHz,100,kHz,0.092,28.0,%,µV
HP 3458A,AC Voltage – Measure,100 mV to 1 V,(100 to 300) kHz,0.35 % + 120 µV,HP 3458A,100,mV,1,V,100,kHz,300,kHz,0.35,120.0,%,µV
HP 3458A,AC Voltage – Measure,100 mV to 1 V,300 kHz to 1 MHz,1.2 % + 120 µV,HP 3458A,100,mV,1,V,300,kHz,1,MHz,1.2,120.0,%,µV
HP 3458A,AC Voltage – Measure,100 mV to 1 V,(1 to 2) MHz,1.7 % + 450 µV,HP 3458A,100,mV,1,V,1,MHz,2,MHz,1.7,450.0,%,µV
HP 3458A,AC Voltage – Measure,100 mV to 1 V,(2 to 4) MHz,4.6 % + 1.1 mV,HP 3458A,100,mV,1,V,2,MHz,4,MHz,4.6,1.1,%,mV
HP 3458A,AC Voltage – Measure,100 mV to 1 V,(4 to 8) MHz,4.6 % + 1.2 mV,HP 3458A,100,mV,1,V,4,MHz,8,MHz,4.6,1.2,%,mV
HP 3458A,AC Voltage – Measure,100 mV to 1 V,(8 to 10) MHz,17 % + 4.4 mV,HP 3458A,100,mV,1,V,8,MHz,10,MHz,17.0,4.4,%,mV
HP 3458A,AC Voltage – Measure,(1 to 10) V,(1 to 40) Hz,83 µV/V + 0.47 mV,HP 3458A,1,V,10,V,1,Hz,40,Hz,83.0,0.47,µV/V,mV
HP 3458A,AC Voltage – Measure,(1 to 10) V,40 Hz to 1 kHz,82 µV/V + 0.24 mV,HP 3458A,1,V,10,V,40,Hz,1,kHz,82.0,0.24,µV/V,mV
HP 3458A,AC Voltage – Measure,(1 to 10) V,(1 to 20) kHz,0.016 % + 0.26 mV,HP 3458A,1,V,10,V,1,kHz,20,kHz,0.016,0.26,%,mV
HP 3458A,AC Voltage – Measure,(1 to 10) V,(20 to 50) kHz,0.035 % + 0.24 mV,HP 3458A,1,V,10,V,20,kHz,50,kHz,0.035,0.24,%,mV
HP 3458A,AC Voltage – Measure,(1 to 10) V,(50 to 100) kHz,0.092 % + 0.28 mV,HP 3458A,1,V,10,V,50,kHz,100,kHz,0.092,0.28,%,mV
HP 3458A,AC Voltage – Measure,(1 to 10) V,(100 to 300) kHz,0.35 % + 1.2 mV,HP 3458A,1,V,10,V,100,kHz,300,kHz,0.35,1.2,%,mV
HP 3458A,AC Voltage – Measure,(1 to 10) V,300 kHz to 1 MHz,1.2 % + 1.2 mV,HP 3458A,1,V,10,V,300,kHz,1,MHz,1.2,1.2,%,mV
HP 3458A,AC Voltage – Measure,(1 to 10) V,(1 to 2) MHz,1.7 % + 4.6 mV,HP 3458A,1,V,10,V,1,MHz,2,MHz,1.7,4.6,%,mV
HP 3458A,AC Voltage – Measure,(1 to 10) V,(2 to 4) MHz,4.6 % + 11 mV,HP 3458A,1,V,10,V,2,MHz,4,MHz,4.6,11.0,%,mV
HP 3458A,AC Voltage – Measure,(1 to 10) V,(4 to 8) MHz,4.6 % + 12 mV,HP 3458A,1,V,10,V,4,MHz,8,MHz,4.6,12.0,%,mV
HP 3458A,AC Voltage – Measure,(1 to 10) V,(8 to 10) MHz,17 % + 44 mV,HP 3458A,1,V,10,V,8,MHz,10,MHz,17.0,44.0,%,mV
HP 3458A,AC Voltage – Measure,(10 to 100) V,(1 to 40) Hz,0.023 % + 4.8 mV,HP 3458A,10,V,100,V,1,Hz,40,Hz,0.023,4.8,%,mV
HP 3458A,AC Voltage – Measure,(10 to 100) V,40 Hz to 1 kHz,0.023 % + 2.5 mV,HP 3458A,10,V,100,V,40,Hz,1,kHz,0.023,2.5,%,mV
HP 3458A,AC Voltage – Measure,(10 to 100) V,(1 to 20) kHz,0.023 % + 2.5 mV,HP 3458A,10,V,100,V,1,kHz,20,kHz,0.023,2.5,%,mV
HP 3458A,AC Voltage – Measure,(10 to 100) V,(20 to 50) kHz,0.04 % + 2.8 mV,HP 3458A,10,V,100,V,20,kHz,50,kHz,0.04,2.8,%,mV
HP 3458A,AC Voltage – Measure,(10 to 100) V,(50 to 100) kHz,0.14 % + 2.4 mV,HP 3458A,10,V,100,V,50,kHz,100,kHz,0.14,2.4,%,mV
HP 3458A,AC Voltage – Measure,(10 to 100) V,(100 to 300) kHz,0.46 % + 14 mV,HP 3458A,10,V,100,V,100,kHz,300,kHz,0.46,14.0,%,mV
HP 3458A,AC Voltage – Measure,(10 to 100) V,300 kHz to 1 MHz,1.7 % + 44 mV,HP 3458A,10,V,100,V,300,kHz,1,MHz,1.7,44.0,%,mV
HP 3458A,AC Voltage – Measure,(100 to 1000) V,(1 to 40) Hz,0.046 % + 49 mV,HP 3458A,100,V,1000,V,1,Hz,40,Hz,0.046,49.0,%,mV
HP 3458A,AC Voltage – Measure,(100 to 1000) V,40 Hz to 1 kHz,0.046 % + 26 mV,HP 3458A,100,V,1000,V,40,Hz,1,kHz,0.046,26.0,%,mV
HP 3458A,AC Voltage – Measure,(100 to 1000) V,(1 to 20) kHz,0.07 % + 23 mV,HP 3458A,100,V,1000,V,1,kHz,20,kHz,0.07,23.0,%,mV
HP 3458A,AC Voltage – Measure,(100 to 1000) V,(20 to 50) kHz,0.14 % + 23 mV,HP 3458A,100,V,1000,V,20,kHz,50,kHz,0.14,23.0,%,mV
HP 3458A,AC Voltage – Measure,(100 to 1000) V,(50 to 100) kHz,0.35 % + 23 mV,HP 3458A,100,V,1000,V,50,kHz,100,kHz,0.35,23.0,%,mV
Fluke 5502A or HP,AC Voltage – Generate,(1 to 10) mV,(1 to 40) Hz,0.034 % + 3.6 µV,Fluke 5502A or HP,1,mV,10,mV,1,Hz,40,Hz,0.034,3.6,%,µV
Fluke 5502A or HP,AC Voltage – Generate,(1 to 10) mV,40 Hz to 1 kHz,0.022 % + 1.5 µV,"3245A, monitored by HP 3458A",1,mV,10,mV,40,Hz,1,kHz,0.022,1.5,%,µV
Fluke 5502A or HP,AC Voltage – Generate,(1 to 10) mV,(1 to 20) kHz,0.033 % + 1.5 µV,"3245A, monitored by HP 3458A",1,mV,10,mV,1,kHz,20,kHz,0.033,1.5,%,µV
Fluke 5502A or HP,AC Voltage – Generate,(1 to 10) mV,(20 to 50) kHz,0.11 % + 1.9 µV,"3245A, monitored by HP 3458A",1,mV,10,mV,20,kHz,50,kHz,0.11,1.9,%,µV
Fluke 5502A or HP,AC Voltage – Generate,(1 to 10) mV,(50 to 100) kHz,0.58 % + 1.5 µV,"3245A, monitored by HP 3458A",1,mV,10,mV,50,kHz,100,kHz,0.58,1.5,%,µV
Fluke 5502A or HP,AC Voltage – Generate,(1 to 10) mV,(100 to 300) kHz,4.6 % + 4.2 µV,"3245A, monitored by HP 3458A",1,mV,10,mV,100,kHz,300,kHz,4.6,4.2,%,µV
Fluke 5502A or HP,AC Voltage – Generate,(1 to 10) mV,300 kHz to 1 MHz,4.6 % + 7.7 µV,"3245A, monitored by HP 3458A",1,mV,10,mV,300,kHz,1,MHz,4.6,7.7,%,µV
Fluke 5502A or HP,AC Voltage – Generate,(10 to 100) mV,(1 to 40) Hz,83 µV/V + 4.7 µV,"3245A, monitored by HP 3458A",10,mV,100,mV,1,Hz,40,Hz,83.0,4.7,µV/V,µV
Fluke 5502A or HP,AC Voltage – Generate,(10 to 100) mV,40 Hz to 1 kHz,83 µV/V + 2.4 µV,"3245A, monitored by HP 3458A",10,mV,100,mV,40,Hz,1,kHz,83.0,2.4,µV/V,µV
Fluke 5502A or HP,AC Voltage – Generate,(10 to 100) mV,(1 to 20) kHz,0.016 % + 2.7 µV,"3245A, monitored by HP 3458A",10,mV,100,mV,1,kHz,20,kHz,0.016,2.7,%,µV
Fluke 5502A or HP,AC Voltage – Generate,(10 to 100) mV,(20 to 50) kHz,0.035 % + 2.4 µV,"3245A, monitored by HP 3458A",10,mV,100,mV,20,kHz,50,kHz,0.035,2.4,%,µV
Fluke 5502A or HP,AC Voltage – Generate,(10 to 100) mV,(50 to 100) kHz,0.092 % + 2.8 µV,"3245A, monitored by HP 3458A",10,mV,100,mV,50,kHz,100,kHz,0.092,2.8,%,µV
Fluke 5502A or HP,AC Voltage – Generate,(10 to 100) mV,(100 to 300) kHz,0.35 % + 12 µV,"3245A, monitored by HP 3458A",10,mV,100,mV,100,kHz,300,kHz,0.35,12.0,%,µV
Fluke 5502A or HP,AC Voltage – Generate,(10 to 100) mV,300 kHz to 1 MHz,1.2 % + 12 µV,"3245A, monitored by HP 3458A",10,mV,100,mV,300,kHz,1,MHz,1.2,12.0,%,µV
Fluke 5502A or HP,AC Voltage – Generate,100 mV to 1 V,(1 to 40) Hz,82 µV/V + 47 µV,"3245A, monitored by HP 3458A",100,mV,1,V,1,Hz,40,Hz,82.0,47.0,µV/V,µV
Fluke 5502A or HP,AC Voltage – Generate,100 mV to 1 V,40 Hz to 1 kHz,82 µV/V + 24 µV,"3245A, monitored by HP 3458A",100,mV,1,V,40,Hz,1,kHz,82.0,24.0,µV/V,µV
Fluke 5502A or HP,AC Voltage – Generate,100 mV to 1 V,(1 to 20) kHz,0.016 % + 26 µV,"3245A, monitored by HP 3458A",100,mV,1,V,1,kHz,20,kHz,0.016,26.0,%,µV
Fluke 5502A or HP,AC Voltage – Generate,100 mV to 1 V,(20 to 50) kHz,0.035 % + 24 µV,"3245A, monitored by HP 3458A",100,mV,1,V,20,kHz,50,kHz,0.035,24.0,%,µV
Fluke 5502A or HP,AC Voltage – Generate,100 mV to 1 V,(50 to 100) kHz,0.092 % + 28 µV,"3245A, monitored by HP 3458A",100,mV,1,V,50,kHz,100,kHz,0.092,28.0,%,µV
Fluke 5502A or HP,AC Voltage – Generate,100 mV to 1 V,(100 to 300) kHz,0.35 % + 120 µV,"3245A, monitored by HP 3458A",100,mV,1,V,100,kHz,300,kHz,0.35,120.0,%,µV
Fluke 5502A or HP,AC Voltage – Generate,100 mV to 1 V,300 kHz to 1 MHz,1.2 % + 120 µV,"3245A, monitored by HP 3458A",100,mV,1,V,300,kHz,1,MHz,1.2,120.0,%,µV
Fluke 5502A or HP,AC Voltage – Generate,(1 to 10) V,(1 to 40) Hz,83 µV/V + 0.47 mV,Fluke 5502A or HP,1,V,10,V,1,Hz,40,Hz,83.0,0.47,µV/V,mV
Fluke 5502A or HP,AC Voltage – Generate,(1 to 10) V,40 Hz to 1 kHz,82 µV/V + 0.24 mV,"3245A, monitored by HP 3458A",1,V,10,V,40,Hz,1,kHz,82.0,0.24,µV/V,mV
Fluke 5502A or HP,AC Voltage – Generate,(1 to 10) V,(1 to 20) kHz,0.016 % + 0.26 mV,"3245A, monitored by HP 3458A",1,V,10,V,1,kHz,20,kHz,0.016,0.26,%,mV
Fluke 5502A or HP,AC Voltage – Generate,(1 to 10) V,(20 to 50) kHz,0.035 % + 0.24 mV,"3245A, monitored by HP 3458A",1,V,10,V,20,kHz,50,kHz,0.035,0.24,%,mV
Fluke 5502A or HP,AC Voltage – Generate,(1 to 10) V,(50 to 100) kHz,0.092 % + 0.28 mV,"3245A, monitored by HP 3458A",1,V,10,V,50,kHz,100,kHz,0.092,0.28,%,mV
Fluke 5502A or HP,AC Voltage – Generate,(1 to 10) V,(100 to 300) kHz,0.35 % + 1.2 mV,"3245A, monitored by HP 3458A",1,V,10,V,100,kHz,300,kHz,0.35,1.2,%,mV
Fluke 5502A or HP,AC Voltage – Generate,(1 to 10) V,300 kHz to 1 MHz,1.2 % + 1.2 mV,"3245A, monitored by HP 3458A",1,V,10,V,300,kHz,1,MHz,1.2,1.2,%,mV
Fluke 5502A or HP,AC Voltage – Generate,(10 to 20) V,(1 to 40) Hz,0.023 % + 4.7 mV,"3245A, monitored by HP 3458A",10,V,20,V,1,Hz,40,Hz,0.023,4.7,%,mV
Fluke 5502A or HP,AC Voltage – Generate,(10 to 20) V,40 Hz to 1 kHz,0.023 % + 2.4 mV,"3245A, monitored by HP 3458A",10,V,20,V,40,Hz,1,kHz,0.023,2.4,%,mV
Fluke 5502A or HP,AC Voltage – Generate,(10 to 20) V,(1 to 20) kHz,0.023 % + 2.4 mV,"3245A, monitored by HP 3458A",10,V,20,V,1,kHz,20,kHz,0.023,2.4,%,mV
Fluke 5502A or HP,AC Voltage – Generate,(10 to 20) V,(20 to 50) kHz,0.004 % + 2.5 mV,"3245A, monitored by HP 3458A",10,V,20,V,20,kHz,50,kHz,0.004,2.5,%,mV
Fluke 5502A or HP,AC Voltage – Generate,(10 to 20) V,(50 to 100) kHz,0.14 % + 2.4 mV,"3245A, monitored by HP 3458A",10,V,20,V,50,kHz,100,kHz,0.14,2.4,%,mV
Fluke 5502A or HP,AC Voltage – Generate,(10 to 20) V,(100 to 300) kHz,0.46 % + 12 mV,"3245A, monitored by HP 3458A",10,V,20,V,100,kHz,300,kHz,0.46,12.0,%,mV
Fluke 5502A or HP,AC Voltage – Generate,(10 to 20) V,300 kHz to 1 MHz,1.7 % + 19 mV,"3245A, monitored by HP 3458A",10,V,20,V,300,kHz,1,MHz,1.7,19.0,%,mV
Fluke 5502A or HP,AC Voltage – Generate,(20 to 100) V,(1 to 40) Hz,0.023 % + 4.8 mV,"3245A, monitored by HP 3458A",20,V,100,V,1,Hz,40,Hz,0.023,4.8,%,mV
Fluke 5502A or HP,AC Voltage – Generate,(20 to 100) V,40 Hz to 1 kHz,0.023 % + 2.5 mV,"3245A, monitored by HP 3458A",20,V,100,V,40,Hz,1,kHz,0.023,2.5,%,mV
Fluke 5502A or HP,AC Voltage – Generate,(20 to 100) V,(1 to 20) kHz,0.021 % + 4.9 mV,"3245A, monitored by HP 3458A",20,V,100,V,1,kHz,20,kHz,0.021,4.9,%,mV
Fluke 5502A or HP,AC Voltage – Generate,(20 to 100) V,(20 to 50) kHz,0.036 % + 6.8 mV,"3245A, monitored by HP 3458A",20,V,100,V,20,kHz,50,kHz,0.036,6.8,%,mV
Fluke 5502A or HP,AC Voltage – Generate,(20 to 100) V,(50 to 100) kHz,0.12 % + 21 mV,"3245A, monitored by HP 3458A",20,V,100,V,50,kHz,100,kHz,0.12,21.0,%,mV
Fluke 5502A or HP,AC Voltage – Generate,(100 to 330) V,(1 to 40) Hz,0.046 % + 47 mV,"3245A, monitored by HP 3458A",100,V,330,V,1,Hz,40,Hz,0.046,47.0,%,mV
Fluke 5502A or HP,AC Voltage – Generate,(100 to 330) V,40 Hz to 1 kHz,0.046 % + 24 mV,"3245A, monitored by HP 3458A",100,V,330,V,40,Hz,1,kHz,0.046,24.0,%,mV
Fluke 5502A or HP,AC Voltage – Generate,(100 to 330) V,(1 to 20) kHz,0.07 % + 23 mV,"3245A, monitored by HP 3458A",100,V,330,V,1,kHz,20,kHz,0.07,23.0,%,mV
Fluke 5502A or HP,AC Voltage – Generate,(100 to 330) V,(20 to 50) kHz,0.14 % + 23 mV,"3245A, monitored by HP 3458A",100,V,330,V,20,kHz,50,kHz,0.14,23.0,%,mV
Fluke 5502A or HP,AC Voltage – Generate,(100 to 330) V,(50 to 100) kHz,0.35 % + 23 mV,"3245A, monitored by HP 3458A",100,V,330,V,50,kHz,100,kHz,0.35,23.0,%,mV
Fluke 5502A or HP,AC Voltage – Generate,(330 to 1000) V,(1 to 40) Hz,0 046 % + 49 mV,"3245A, monitored by HP 3458A",330,V,1000,V,1,Hz,40,Hz,0.0,49.0,046 %,mV
Fluke 5502A or HP,AC Voltage – Generate,(330 to 1000) V,40 Hz to 1 kHz,0.046 % + 26 mV,"3245A, monitored by HP 3458A",330,V,1000,V,40,Hz,1,kHz,0.046,26.0,%,mV
Fluke 5502A or HP,AC Voltage – Generate,(330 to 1000) V,(1 to 10) kHz,0.07 % + 23 mV,"3245A, monitored by HP 3458A",330,V,1000,V,1,kHz,10,kHz,0.07,23.0,%,mV
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,Up to 100 µA,(10 to 20) Hz,0.42 % + 0.077 µA,HP 3458A with Fluke 5502A,,,100,µA,10,Hz,20,Hz,0.42,0.077,%,µA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,Up to 100 µA,(20 to 45) Hz,0.17 % + 0.038 µA,HP 3458A with Fluke 5502A,,,100,µA,20,Hz,45,Hz,0.17,0.038,%,µA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,Up to 100 µA,45 Hz to 5 kHz,0.069 % + 0.036 µA,HP 3458A with Fluke 5502A,,,100,µA,45,Hz,5,kHz,0.069,0.036,%,µA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,100 µA to 1 mA,(10 to 20) Hz,0.46 % + 0.25 µA,HP 3458A with Fluke 5502A,100,µA,1,mA,10,Hz,20,Hz,0.46,0.25,%,µA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,100 µA to 1 mA,(20 to 45) Hz,0.17 % + 0.27 µA,HP 3458A with Fluke 5502A,100,µA,1,mA,20,Hz,45,Hz,0.17,0.27,%,µA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,100 µA to 1 mA,(45 to 100) Hz,0.069 % + 0.24 µA,HP 3458A with Fluke 5502A,100,µA,1,mA,45,Hz,100,Hz,0.069,0.24,%,µA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,100 µA to 1 mA,100 Hz to 5 kHz,0.035 % + 0.24 µA,HP 3458A with Fluke 5502A,100,µA,1,mA,100,Hz,5,kHz,0.035,0.24,%,µA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,100 µA to 1 mA,(5 to 20) kHz,0.07 % + 0.24 µA,HP 3458A with Fluke 5502A,100,µA,1,mA,5,kHz,20,kHz,0.07,0.24,%,µA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,100 µA to 1 mA,(20 to 50) kHz,0.47 % + 0.47 µA,HP 3458A with Fluke 5502A,100,µA,1,mA,20,kHz,50,kHz,0.47,0.47,%,µA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,100 µA to 1 mA,(50 to 100) kHz,0.64 % + 1.8 µA,HP 3458A with Fluke 5502A,100,µA,1,mA,50,kHz,100,kHz,0.64,1.8,%,µA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,(1 to 10) mA,(10 Hz to 20) Hz,0.46 % + 2.5 µA,HP 3458A with Fluke 5502A,1,mA,10,mA,10,Hz,20,Hz,0.46,2.5,%,µA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,(1 to 10) mA,(20 Hz to 45) Hz,0.17 % + 2.7 µA,HP 3458A with Fluke 5502A,1,mA,10,mA,20,Hz,45,Hz,0.17,2.7,%,µA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,(1 to 10) mA,(45 Hz to 100) Hz,0.069 % + 2.4 µA,HP 3458A with Fluke 5502A,1,mA,10,mA,45,Hz,100,Hz,0.069,2.4,%,µA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,(1 to 10) mA,100 Hz to 5 kHz,0.035 % + 2.4 µA,HP 3458A with Fluke 5502A,1,mA,10,mA,100,Hz,5,kHz,0.035,2.4,%,µA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,(1 to 10) mA,(5 kHz to 20) kHz,0.07 % + 2.4 µA,HP 3458A with Fluke 5502A,1,mA,10,mA,5,kHz,20,kHz,0.07,2.4,%,µA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,(1 to 10) mA,(20 to 50) kHz,0.47 % + 4.7 µA,HP 3458A with Fluke 5502A,1,mA,10,mA,20,kHz,50,kHz,0.47,4.7,%,µA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,(1 to 10) mA,(50 to 100) kHz,0.64 % + 18 µA,HP 3458A with Fluke 5502A,1,mA,10,mA,50,kHz,100,kHz,0.64,18.0,%,µA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,(10 to 100) mA,(10 to 20) Hz,0.46 % + 25 µA,HP 3458A with Fluke 5502A,10,mA,100,mA,10,Hz,20,Hz,0.46,25.0,%,µA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,(10 to 100) mA,(20 to 45) Hz,0.17 % + 27 µA,HP 3458A with Fluke 5502A,10,mA,100,mA,20,Hz,45,Hz,0.17,27.0,%,µA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,(10 to 100) mA,(45 to 100) Hz,0.069 % + 24 µA,HP 3458A with Fluke 5502A,10,mA,100,mA,45,Hz,100,Hz,0.069,24.0,%,µA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,(10 to 100) mA,100 Hz to 5 kHz,0.035 % + 24 µA,HP 3458A with Fluke 5502A,10,mA,100,mA,100,Hz,5,kHz,0.035,24.0,%,µA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,(10 to 100) mA,(5 to 20) kHz,0.07 % + 24 µA,HP 3458A with Fluke 5502A,10,mA,100,mA,5,kHz,20,kHz,0.07,24.0,%,µA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,(10 to 100) mA,(20 to 50) kHz,0.47 % + 47 µA,HP 3458A with Fluke 5502A,10,mA,100,mA,20,kHz,50,kHz,0.47,47.0,%,µA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,(10 to 100) mA,(50 to 100) kHz,0.64 % + 0.18 mA,HP 3458A with Fluke 5502A,10,mA,100,mA,50,kHz,100,kHz,0.64,0.18,%,mA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,100 mA to 1 A,(10 to 20) Hz,0.46 % + 0.25 mA,HP 3458A with Fluke 5502A,100,mA,1,A,10,Hz,20,Hz,0.46,0.25,%,mA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,100 mA to 1 A,(20 to 45) Hz,0.18 % + 0.28 mA,HP 3458A with Fluke 5502A,100,mA,1,A,20,Hz,45,Hz,0.18,0.28,%,mA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,100 mA to 1 A,(45 to 100) Hz,0.092 % + 0.24 mA,HP 3458A with Fluke 5502A,100,mA,1,A,45,Hz,100,Hz,0.092,0.24,%,mA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,100 mA to 1 A,100 Hz to 5 kHz,0.12 % + 0.24 mA,HP 3458A with Fluke 5502A,100,mA,1,A,100,Hz,5,kHz,0.12,0.24,%,mA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,100 mA to 1 A,(5 to 20) kHz,0.35 % + 0.24 mA,HP 3458A with Fluke 5502A,100,mA,1,A,5,kHz,20,kHz,0.35,0.24,%,mA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,100 mA to 1 A,(20 to 50) kHz,1.2 % + 0.47 mA,HP 3458A with Fluke 5502A,100,mA,1,A,20,kHz,50,kHz,1.2,0.47,%,mA
HP 3458A with Fluke 5502A,AC Current – Generate & Measure,(1 to 10) A,(1 to 50) Hz,0.0093 % + 0.46 mA,HP 3458A with Fluke,1,A,10,A,1,Hz,50,Hz,0.0093,0.46,%,mA
